KODE;NAMA;SATUAN
AB016;ALAT PEMBERSIH KACA/WHIPER;BH
AB017;SLABER KARET;BH
AB018;KARET MAMPET WC;BH
AB019;GAYUNG;BH
AB020;KAPAS;KG
AB021;SARUNG TANGAN YOUNG-YOUNG;PSG
AB022;SARUNG TANGAN KARET TIPIS (1BOX=50BH);PSG
AB023;SARUNG TANGAN NYLON/PUTIH;PSG
AB024;SIKAT BOTOL BESAR;BH
AB025;SIKAT BOTOL KECIL;BH
AB026;SIKAT BOTOL SEDANG;BH
AB027;SIKAT GIGI;BH
AB028;SIKAT KUNINGAN;BH
AB029;SIKAT PLASTIK;BH
AB030;TEMPAT SAMPAH 20 LITER;BH
AB031;TEMPAT SAMPAH 50 LITER;BH
AB032;ALAT PEMBERSIH LABA-LABA;BH
AB033;GAGANG PEMBERSIH KACA;BH
AB034;KANEBO;BH
AB035;LAP PEL DORONG MAGIC MOP;BH
AB036;REFILL MAGIC MOP;BH
AB037;BOTOL SPRAYER PEMBERSIH KACA (500ML);BH
AB038;SAPU PLASTIK;BH
AB039;SPONS PENCUCI PIRING HIJAU;BH
AB040;SPONS PENCUCI PIRING HIJAU KUNING;BH
AB041;SPONS PENCUCI PIRING KUNING;BH
AB042;LAP BIRU;BH
AB043;BOTOL SPRAYER 1000ML;BH
AB044;MAGIC HANGER LIONSTAR HK 3 ;BH
AB045;GAYUNG GAGANG PANJANG;BH
AB046;CLING WRAP REFILL 30X30;ROLL
AB047;KEPALA BOTOL SPRAYER;BH.
UM001;BAYGON JUMBO;BH
UM002;KESET MAJUN;BH
UM003;KOPI + GULA SACHET (1 DUS @250);BH
UM004;KESET 1.5 MTR;BH
UM005;KESET 1 MTR;BH
UM006;KESET KARET;BH
UM007;KESET SERABUT KELAPA;BH
UM008;KAMPER;BH
UM009;TISSUE;ROLL
SB001;WIPOL / JOJO KARBOL WANGI;BTL
SB002;LYSOL;LTR
SB003;PORSTEX;BTL
SB005;SABUN LIFEBUOY;BH
SB006;SOS / PEMBERSIH LANTAI/SUPER PEL;BTL
SB007;VIM (EMORI)/(KIFA);BKS
SB008;SABUN WING;BH
SB009;SABUN DAIA / RINSO  ;KG
SB010;SUNLIGHT/MAMA LEMON/JOJO PENCUCI PIRING;KG
SB011;HIPOKLORIT;LTR
SB012;HAND SOAP;BTL
SB013;SABUN DETERJEN CAIR;KG
SB014;SABUN CUCI PIRING 600ML;BTL
SB015;HAND SOAP DETTOL 400ML;BTL
SB016;HAND SOAP (LITERAN);LTR
